CITY	STATE	ZIP	delivery	Second	LastName	FirstName	Phone
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
Old Hickory	TN	37138-1923	4849 Mountain Dr		Caramel	Claude	5411234567
Portville	MI	01404	190 Sunny Lane		Doe	John	5411234567
Portland	OR	97401	190 W 22nd Ave	Apt 1	Owen	Alex	6155696366
#skip	#skip	#skip	9473 Haley Ave	#skip	#skip	Kayla	#skip
Portland	#skip	#skip	#skip	#skip	Yubo	#skip	#skip
