CITY	STATE	ZIP	Delivery	Second	LastName	FirstName	Phone	Email
Portsmouth	NH	214	11146 Schiller Drive		Lawrence	Gregory	1-(603)437-8450	glawrenceay@huffingtonpost.com
Portsmouth	NH	214	539 Summit Avenue		Young	Benjamin	1-(603)935-3606	byoung42@sogou.com
Springfield	MA	1105	395 Esker Plaza		Brooks	Gloria	1-(413)500-8548	gbrookski@sciencedirect.com
Springfield	MA	1152	03723 Golden Leaf Crossing		Lewis	Angela	1-(413)583-9809	alewis17@rakuten.co.jp
Springfield	MA	1152	4204 Calypso Pass		Nelson	Melissa	1-(413)631-7886	mnelsone2@diigo.com
Woburn	MA	1813	1482 Cherokee Road		Johnston	Sarah	1-(339)341-6407	sjohnstongm@prlog.org
Lynn	MA	1905	93 Hayes Drive		Matthews	Clarence	1-(781)311-7822	cmatthews52@devhub.com
Lynn	MA	1905	46422 Spaight Place		Parker	Alan	1-(339)504-7047	aparkerpy@mail.ru
Boston	MA	2109	8043 Bay Court		Wagner	Shirley	1-(617)115-6619	swagner7s@elpais.com
Boston	MA	2119	4034 Scott Way		Armstrong	John	1-(978)239-2619	jarmstronge@google.co.jp
Boston	MA	2119	08 Mallory Street		Carroll	Antonio	1-(508)306-8367	acarrollqp@youtu.be
Boston	MA	2119	8 Monterey Street		Cole	Anthony	1-(978)468-7203	acoleqh@istockphoto.com
Boston	MA	2163	6 Warner Lane		Johnson	Scott	1-(857)203-0042	sjohnsonni@mozilla.org
Boston	MA	2203	9973 Glendale Junction		Palmer	Nancy	1-(617)567-3481	npalmerlb@twitpic.com
Boston	MA	2208	4 Warner Circle		Freeman	Shirley	1-(617)215-8187	sfreeman3d@1688.com
Boston	MA	2216	8 1st Court		Hunt	Lisa	1-(617)297-6600	lhuntfb@blogspot.com
Boston	MA	2283	31 Clarendon Alley		Hamilton	Emily	1-(617)780-1065	ehamiltonfa@answers.com
Brockton	MA	2405	45194 Artisan Drive		Hudson	Antonio	1-(508)157-4687	ahudsonm@hhs.gov
Brockton	MA	2405	4778 Lien Park		Murray	Clarence	1-(508)406-9279	cmurrayl@reverbnation.com
Watertown	MA	2472	2 Nancy Drive		Peters	Denise	1-(978)425-7527	dpetersd6@prnewswire.com
New Bedford	MA	2745	09 Brown Court		Willis	Gerald	1-(508)706-9930	gwillisnh@drupal.org
Providence	RI	2905	57136 David Lane		Cook	Jose	1-(401)972-4030	jcookbg@thetimes.co.uk
Providence	RI	2912	7 David Parkway		Howell	Roy	1-(401)105-1858	rhowell81@oaic.gov.au
Providence	RI	2912	80597 Graceland Road		Snyder	Harry	1-(401)683-0259	hsnyderpb@cnn.com
Portland	ME	4109	66 Fuller Plaza		Morgan	Norma	1-(207)927-5049	nmorganpq@ycombinator.com
Montpelier	VT	5609	58 North Circle		Thompson	Howard	1-(802)468-9906	hthompson59@independent.co.uk
Hartford	CT	6120	4 John Wall Crossing		Carter	Randy	1-(860)892-5343	rcartermp@live.com
West Hartford	CT	6127	1 Stuart Place		Oliver	Kathleen	1-(860)943-3712	koliverj2@google.pl
Hartford	CT	6140	0 Mosinee Park		Reed	Betty	1-(860)491-4937	breed3w@reverbnation.com
Hartford	CT	6183	3 Myrtle Terrace		Clark	Judith	1-(860)665-0205	jclarkds@amazon.co.uk
New Haven	CT	6505	790 Roxbury Avenue		Gilbert	Peter	1-(203)191-2514	pgilbertae@wordpress.com
New Haven	CT	6510	1634 Nelson Alley		Jackson	Sara	1-(203)936-3743	sjacksonel@domainmarket.com
New Haven	CT	6510	11 Valley Edge Road		Rogers	Carol	1-(203)618-7597	crogersbx@rambler.ru
New Haven	CT	6520	23 Cambridge Pass		Hawkins	Chris	1-(203)358-3634	chawkins2a@paypal.com
New Haven	CT	6520	0892 Kropf Hill		Rose	Todd	1-(203)546-9562	trose5@cbc.ca
New Haven	CT	6533	651 Birchwood Street		Simpson	Cheryl	1-(203)424-8215	csimpsondn@redcross.org
New Haven	CT	6538	2356 Hoffman Crossing		Banks	Kimberly	1-(203)984-5279	kbanks7c@barnesandnoble.com
New Haven	CT	6538	0 Mendota Road		Henderson	Ernest	1-(203)762-8573	ehendersonkc@bloglovin.com
Bridgeport	CT	6606	46300 Rigney Hill		Hart	David	1-(203)282-8358	dhart3t@slideshare.net
Bridgeport	CT	6673	977 Red Cloud Trail		Jacobs	Julie	1-(203)108-2537	jjacobsfp@yelp.com
Bridgeport	CT	6673	9 Nevada Circle		Torres	Wayne	1-(203)870-5387	wtorresmo@devhub.com
Waterbury	CT	6721	86 Schlimgen Terrace		Romero	Roy	1-(203)381-9471	rromerobc@virginia.edu
Waterbury	CT	6726	8 Redwing Drive		James	Roger	1-(203)513-3587	rjamesag@bizjournals.com
Danbury	CT	6816	4 Vidon Alley		Andrews	Diana	1-(203)192-0463	dandrewsno@google.com.hk
Danbury	CT	6816	934 Prentice Street		Williams	Craig	1-(203)725-0172	cwilliams2m@163.com
Fairfield	CT	6825	66570 Kennedy Terrace		Elliott	Robert	1-(203)311-2252	relliottj6@de.vu
Stamford	CT	6905	63301 Alpine Park		Matthews	Matthew	1-(203)117-3250	mmatthewsgq@1688.com
Stamford	CT	6905	5120 Everett Road		Ruiz	Mark	1-(203)954-0260	mruizrg@howstuffworks.com
Stamford	CT	6922	474 Comanche Center		Flores	Sarah	1-(203)470-7273	sfloresrd@t-online.de
Newark	NJ	7104	90304 Maple Drive		Reed	Stephanie	1-(973)398-1747	sreed49@stanford.edu
Elizabeth	NJ	7208	59697 Sundown Center		Black	Earl	1-(908)391-8381	eblack1p@domainmarket.com
Jersey City	NJ	7310	30 Fieldstone Crossing		Berry	Kathryn	1-(201)105-8852	kberrybt@oracle.com
Trenton	NJ	8619	32 Fair Oaks Road		Hayes	Robin	1-(609)818-4363	rhayes2c@comsenz.com
Trenton	NJ	8650	798 Loftsgordon Avenue		Reynolds	Joan	1-(609)198-6999	jreynoldsfx@booking.com
Trenton	NJ	8695	9187 Maywood Circle		Austin	Heather	1-(609)753-7463	haustin39@wikimedia.org
New Brunswick	NJ	8922	869 Alpine Junction		James	Fred	1-(732)668-4913	fjameshr@economist.com
New York City	NY	10009	6300 Mallard Plaza		Bailey	Mary	1-(917)729-4057	mbaileyin@amazon.co.uk
New York City	NY	10019	617 Nova Alley		Hunt	Daniel	1-(718)100-5339	dhuntid@1688.com
New York City	NY	10019	90 Bartillon Trail		Reyes	Mildred	1-(347)326-1101	mreyesoo@weebly.com
New York City	NY	10024	8 Barnett Place		Burns	Patricia	1-(212)994-8597	pburnsfm@youtu.be
New York City	NY	10024	52 Division Place		Cooper	Deborah	1-(917)589-6216	dcooperdw@cbslocal.com
New York City	NY	10034	4558 Nevada Crossing		Coleman	Lillian	1-(646)216-0805	lcolemanmt@diigo.com
